node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,geometry,osm_node_id,railway,level_crossing,access,description,,
185,,-87.621517,41.649470,,,0,"POINT (-87.621517 41.649470)",718505245,,,,,,
186,,-87.612373,41.639685,,,0,"POINT (-87.612373 41.639685)",720611967,,,,,,
187,,-87.612370,41.639818,,,0,"POINT (-87.612370 41.639818)",720611968,,,,,,
188,,-87.612390,41.639948,,,0,"POINT (-87.612390 41.639948)",720611969,,,,,,
189,,-87.612427,41.640064,,,0,"POINT (-87.612427 41.640064)",720611970,,,,,,
190,,-87.612465,41.640168,,,0,"POINT (-87.612465 41.640168)",720611971,,,,,,
191,,-87.612539,41.640297,,,0,"POINT (-87.612539 41.640297)",720611972,,,,,,
192,,-87.612621,41.640412,,,0,"POINT (-87.612621 41.640412)",720611973,,,,,,
193,,-87.612709,41.640507,,,0,"POINT (-87.612709 41.640507)",720611974,,,,,,
194,,-87.612801,41.640597,,,0,"POINT (-87.612801 41.640597)",720611975,,,,,,
195,,-87.613096,41.640865,,,0,"POINT (-87.613096 41.640865)",720611976,,,,,,
196,,-87.613227,41.640968,,,0,"POINT (-87.613227 41.640968)",720611977,,,,,,
197,,-87.613348,41.641054,,,0,"POINT (-87.613348 41.641054)",720611978,,,,,,
198,,-87.613524,41.641173,,,0,"POINT (-87.613524 41.641173)",720611979,,,,,,
199,,-87.613805,41.641354,,,0,"POINT (-87.613805 41.641354)",720611980,switch,,,,,
200,,-87.612168,41.639481,,,0,"POINT (-87.612168 41.639481)",720611984,,,,,,
201,,-87.612111,41.639655,,,0,"POINT (-87.612111 41.639655)",720611985,,,,,,
202,,-87.612050,41.639787,,,0,"POINT (-87.612050 41.639787)",720611987,,,,,,
203,,-87.611967,41.639916,,,0,"POINT (-87.611967 41.639916)",720611994,,,,,,
204,,-87.611870,41.640032,,,0,"POINT (-87.611870 41.640032)",720612000,,,,,,
205,,-87.611743,41.640154,,,0,"POINT (-87.611743 41.640154)",720612001,,,,,,
206,,-87.611626,41.640247,,,0,"POINT (-87.611626 41.640247)",720612002,,,,,,
207,,-87.611458,41.640358,,,0,"POINT (-87.611458 41.640358)",720612003,,,,,,
208,,-87.611292,41.640448,,,0,"POINT (-87.611292 41.640448)",720612004,,,,,,
209,,-87.611118,41.640522,,,0,"POINT (-87.611118 41.640522)",720612005,,,,,,
210,,-87.610931,41.640582,,,0,"POINT (-87.610931 41.640582)",720612006,,,,,,
211,,-87.610760,41.640622,,,0,"POINT (-87.610760 41.640622)",720612007,,,,,,
212,,-87.610591,41.640646,,,0,"POINT (-87.610591 41.640646)",720612009,,,,,,
