name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,3046,42536898,turning_circle,,,,residential,2,-111.8982252,33.5921976,,,
,3047,42536895,,,,,residential,0,-111.8998674,33.5922026,,,
,3048,5215916321,,,,,residential,0,-111.8999597,33.5922006,,,
,3049,42318508,,,,,tertiary,0,-111.8848544,33.5921646,,,
,3050,42536916,turning_circle,,,,residential,2,-111.8865491,33.5919197,,,
,3051,42517877,,,,,residential,0,-111.8436345,33.5898122,,,
,3052,42536982,turning_circle,,,,residential,2,-111.8874962,33.5919907,,,
,3053,1640554974,,,,,residential,2,-111.8950416,33.592857,,,
,3054,42537006,,,,,residential,0,-111.8806224,33.5918681,,,
,3055,42537033,turning_circle,,,,residential,2,-111.8804782,33.5920725,,,
,3056,42537041,turning_circle,,,,residential,2,-111.8949113,33.5918185,,,
,3057,42537044,turning_circle,,,,residential,2,-111.8939974,33.5918111,,,
,3058,2620053518,,,,,residential,0,-111.8740805,33.5925226,,,
,3059,41603864,,,,,residential,0,-111.8740006,33.5925209,,,
,3060,6059591951,,,,,residential,2,-111.8712285,33.5924653,,,
,3061,41860733,,,,,tertiary,0,-111.8566733,33.5919662,,,
,3062,42538909,turning_circle,,,,residential,2,-111.8776933,33.6047959,,,
,3063,42538917,turning_circle,,,,residential,2,-111.8743778,33.6048509,,,
,3064,358014763,turning_circle,,,,residential,2,-111.8824236,33.6050711,,,
,3065,316708497,turning_circle,,,,residential,2,-111.8786556,33.6048423,,,
,3066,42542220,turning_circle,,,,residential,0,-111.8701672,33.607413,,,
,3067,42542246,,,,,residential,0,-111.8712752,33.6046155,,,
,3068,41857682,,,,,tertiary,0,-111.8713633,33.6041806,,,
,3069,42315801,,,,,tertiary,0,-111.8726188,33.6158955,,,
,3070,41912928,,,,,residential,0,-111.8714718,33.5930488,,,
,3071,42542279,turning_circle,,,,residential,2,-111.8715413,33.5936209,,,
,3072,42542344,turning_circle,,,,residential,2,-111.8721069,33.5816367,,,
,3073,42542392,turning_circle,,,,residential,0,-111.8715952,33.6204055,,,
,3074,42545143,turning_circle,,,,residential,2,-111.8028939,33.5862702,,,
,3075,42545147,,,,,residential,0,-111.8018014,33.5875799,,,
,3076,42545152,,,,,residential,0,-111.8015504,33.5882618,,,
,3077,42545157,,,,,residential,0,-111.8011317,33.5889869,,,
,3078,41543072,,,,,residential,0,-111.8010458,33.5896176,,,
,3079,2097475009,,,,,residential,0,-111.8010402,33.5897311,,,
,3080,42545178,turning_circle,,,,residential,2,-111.8013263,33.5860259,,,
,3081,42545180,turning_circle,,,,residential,0,-111.8008314,33.586299,,,
,3082,42551647,turning_circle,,,,residential,2,-111.7849103,33.5910506,,,
,3083,41963007,,,,,residential,0,-111.796063,33.5920935,,,
,3084,42551654,turning_circle,,,,residential,2,-111.7972423,33.5921496,,,
,3085,42551660,turning_circle,,,,residential,2,-111.7790799,33.5927018,,,
,3086,42551670,turning_circle,,,,residential,2,-111.7808408,33.5926817,,,
